pr_number;created_at;merged_at;time_to_merge_hours;changed_files;lines_changed;total_comments;total_reviews;pr_title;pr_body;has_changes_requested;main_module;cross_modules;labels_list;inferred_task_type;commit_messages
125560;2024-06-17T23:35:44Z;2024-06-24T23:48:46Z;168,22;185;4418;14;23;Add field management support to fake client-go typed client;What type of PR is this?/kind featureWhat this PR does / why we need it:Which issue(s) this PR fixes:Fixes #115598See also: https://github.com/kubernetes/client-go/issues/1184 and #99953Special notes for your reviewer:Does this PR introduce a user-facing change?Add field management support to the fake client-go typed client.Use `fake.NewClientset()` instead of `fake.NewSimpleClientset()` to create a clientset with managed field support.;TRUE;staging;staging;area/test, lgtm, sig/api-machinery, release-note, size/XXL, kind/feature, sig/auth, approved, cncf-cla: yes, sig/instrumentation;feature;Support options for all client fake actions | Add field tracker support to client fake fixtures | Generate type fake clients that may opt in to the use of managed fields | Generate code | Add integration test | Resolve rebase
75229;2019-03-08T23:43:35Z;2019-08-01T15:16:17Z;3495,55;3;59;44;8;kubelet: lookup node address for external provider if none is set;What type of PR is this?/kind featureWhat this PR does / why we need it:This changes the node address lookup in the kubelet for external providers. If --cloud-provider=external and the kubelet has no node address set already, we attempt to fill its node address with what we can find at runtime (hostname + internal IP). In most cloud providers, whatever hostname/internal IP the kubelet sets at startup will get overwritten later.This should alleviate some of the common bootstrapping problems we see with external providers because the kubelet hosting the control plane does not have node addresses set.Which issue(s) this PR fixes:Special notes for your reviewer:Does this PR introduce a user-facing change?:Attempt to set the kubelet's hostname & internal IP if `--cloud-provider=external` and no node addresses exists;FALSE;pkg;pkg;area/kubelet, lgtm, area/cloudprovider, sig/node, release-note, size/M, kind/feature, approved, cncf-cla: yes, priority/important-longterm;feature;kubelet: lookup node address for external provider if none is set  Signed-off-by: Andrew Sy Kim <kiman@vmware.com>
77936;2019-05-15T15:56:45Z;2019-05-17T07:26:20Z;39,49;4;57;6;7;Interrupt WaitForCertificate if desired kubelet serving cert changes;What type of PR is this?/kind cleanupWhat this PR does / why we need it:If the desired serving certificate for a kubelet changes while it is waiting for approval on a previously requested certificate, it can block for up to 15 minutes before making a new request for the new serving cert.This PR threads a context into WaitForCertificate so we can cancel the request if a changed cert template is detected.Relevant to #75229 (comment)Does this PR introduce a user-facing change?:NONE/cc @mikedanese @awly @andrewsykim/sig node auth;FALSE;cmd;cmd, pkg, staging;priority/important-soon, area/kubelet, kind/cleanup, lgtm, sig/node, sig/cluster-lifecycle, size/M, release-note-none, sig/auth, approved;other;Interrupt WaitForCertificate if desired kubelet serving cert changes
136450;2026-01-23T06:06:48Z;2026-01-24T18:58:13Z;36,86;2;58;16;4;DRA: support non-pod references in ReservedFor;Closing previous PR #136430 due to a local environment error that caused a massive accidental force-push. This new PR contains the clean, targeted fix and addresses the feedback from @troychiu.Problem: TheResourceClaim controller would fail to process and clean up stale pod references if it encountered any non-pod references in the status.reservedFor field. This halted the controller's operation, preventing necessary cleanup.Solution: Modified the syncClaim function to gracefully handle unknown (non-pod) ReservedFor entries. Instead of returning an error, it now logs a message and continues processing, ensuring that valid pod references can still be cleaned up.Changes:Updated pkg/controller/resourceclaim/controller.go to keep unknown references and continue processing.Integrated a regression test case into the TestSyncHandler suite in pkg/controller/resourceclaim/controller_test.gousing realistic test data (testPodWithResource)./kind featureAdded support for unknown (non-pod) references in ResourceClaim status.reservedFor. The controller now gracefully ignores these entries instead of returning an error, ensuring that stale pod references can still be cleaned up.Does this PR introduce a user-facing change?The ResourceClaim controller now correctly handles unknown (non-pod) references in the status.reservedFor field by skipping them instead of halting the sync process.;TRUE;pkg;pkg;priority/important-soon, lgtm, sig/node, release-note, size/M, kind/feature, sig/apps, approved, cncf-cla: yes, tide/merge-method-squash;feature;DRA: support non-pod references in ReservedFor  Signed-off-by: MohammedSaalif <salifud2004@gmail.com> | Expand reservation validation comment in syncClaim as suggested by mortent | Address feedback: rename valid to remaining and remove obsolete TODO
134330;2025-09-29T19:09:36Z;2025-10-01T03:58:17Z;32,81;44;642;14;25;Add resource version comparison function in client-go along with conformance;What type of PR is this?/kind featureWhat this PR does / why we need it:Adds a helper function to client go to compare resource versions along with conformance tests ensuring that Resource Version comparability is respected in a conformant clusterAdds conformance tests for GA types: APIService CertificateSigningRequest - test/e2e/auth/certificates.go ConfigMap - test/e2e/common/node/configmap.go ControllerRevision CronJob - test/e2e/apps/cronjob.go CSIDriver - test/e2e/storage/csi_inline.go CSINode - test/e2e/storage/csi_node.go CSIStorageCapacity - test/e2e/storage/csistoragecapacity.go CustomResourceDefinition - test/e2e/apimachinery/crd_publish_openapi.go in removes definition from spec when one version gets changed to not be served DaemonSet - test/e2e/apps/daemon_set.go Deployment - test/e2e/apps/deployment.go Endpoints - test/e2e/network/service.go EndpointSlice - test/e2e/network/endpointslice.go Event - test/e2e/instrumentation/events.go FlowSchema - test/e2e/apimachinery/flowcontrol.go Ingress - test/e2e/network/ingress.go IngressClass - test/e2e/network/ingressclass.go IPAddress - test/e2e/network/service_cidrs.go Job - test/e2e/apps/job.go Lease - test/e2e/common/node/lease.go LimitRange - test/e2e/scheduling/limit_range.go MutatingWebhookConfiguration - test/e2e/apimachinery/webhook.go Namespace - test/e2e/apimachinery/namespace.go Node - test/e2e/node/node_lifecycle.go PersistentVolume - test/e2e/storage/persistent_volumes.go PersistentVolumeClaim - test/e2e/storage/persistent_volumes.go Pod - test/e2e/common/node/pods.go PodDisruptionBudget - test/e2e/apps/disruption.go PodTemplate - test/e2e/common/node/podtemplates.go PriorityClass - test/e2e/scheduling/preemption.go in verify PriorityClass endpoints can be operated with different HTTP methods PriorityLevelConfiguration - test/e2e/apimachinery/flowcontrol.go ReplicaSet - test/e2e/apps/replica_set.go ReplicationController - test/e2e/apps/rc.go ResourceQuota - test/e2e/apimachinery/resource_quota.go RuntimeClass - test/e2e/common/node/runtimeclass.go Secret - test/e2e/common/node/secrets.go Service - test/e2e/network/service.go in should serve endpoints on same port and different protocols ServiceAccount - test/e2e/auth/service_accounts.go StatefulSet - test/e2e/apps/statefulset.go StorageClass - test/e2e/storage/storageclass.go ValidatingAdmissionPolicy - test/e2e/apimachinery/validatingadmissionpolicy.go ValidatingAdmissionPolicyBinding - test/e2e/apimachinery/validatingadmissionpolicy.go ValidatingWebhookConfiguration - test/e2e/apimachinery/webhook.go VolumeAttachment - test/e2e/storage/volume_attachment.go Example custom resource - test/e2e/apimachinery/custom_resource_definition.go in custom resource defaulting for requests and from storage works, can compare the resourceVersion from the first crClient.Create to the second crClient.Create callWhich issue(s) this PR is related to:KEP: kubernetes/enhancements#5504Special notes for your reviewer:Does this PR introduce a user-facing change?k8s.io/apimachinery: Introduce a helper function to compare resourceVersion strings from two objects of the same resourceAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:- [KEP]: https://github.com/kubernetes/enhancements/pull/5505;FALSE;staging;staging, test;area/test, sig/network, sig/scheduling, lgtm, sig/storage, sig/node, sig/api-machinery, release-note, size/XL, kind/feature;feature;feat: Add helper function for client-go to compare resource version | feat: Add conformance tests for all resources for comparable resource version | Add additional types for resource version comparison testing | feat: Add matcher and conformance tests ensuring that RV is uint128 | Document 0 as a special case in RV comparison
131220;2025-04-09T14:33:13Z;2025-11-06T18:06:53Z;5067,56;7;272;28;38;feat(ccm): watch-based route controller reconciliation;What type of PR is this?/kind featureWhat this PR does / why we need it:The route controller in the cloud-controller-manager currently operates with a static reconciliation interval. Depending on the scale of the cluster, this can quickly lead to exceeding the rate limits set by cloud providers.This PR introduces a new watch-based route controller that triggers reconciliation only when a node is added, deleted, or when there are updates to the Status.Addresses or PodCIDR fields.Additionally, a new feature gate, CloudControllerManagerWatchBasedRoutesReconciliation, is introduced, which is disabled by default.Which issue(s) this PR fixes:Fixes #60646Special notes for your reviewer:KEP 5237 is merged and has status implementable.Does this PR introduce a user-facing change?Add cloud-controller-manager feature gate CloudControllerManagerWatchBasedRoutesReconciliationAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:Implementation of KEP 5237;FALSE;pkg;pkg, staging, test;lgtm, area/cloudprovider, sig/api-machinery, release-note, size/L, kind/feature, approved, cncf-cla: yes, sig/cloud-provider, ok-to-test;feature;"feat(ccm): watch based route controller  Introduces a new watch based route controller for the cloud-controller-manager. This prevents the exhaustion of API rate limits through an overagressive routes controller. This is further described in #60646. The corresponding feature gate is called ""CloudControllerManagerWatchBasedRoutesReconciliation"". | fix: check error of AddEventHandler | fix: spelling | fix: missing update of feature gates | feat: update routes on resync | feat: minimal route resync period interval | fix: rate limit route reconciles | fix: feature gate min version | feat: add feature gate to kube features | docs: cleanup docstrings"
130705;2025-03-10T23:38:45Z;2025-03-12T18:29:54Z;42,85;8;1008;15;22;[Declarative Validation] feat: add declarative validation metrics and associated runtime verification tests;What type of PR is this?/kind featureWhat this PR does / why we need it:Adds runtime verification testing for Declarative Validation as outlined in the KEP: https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/5073-declarative-validation-with-validation-gen/README.md#runtime-verification-testingIntroduces new metrics for declarative validation in staging/src/k8s.io/apiserver/pkg/validation/metrics.go:declarative_validation_mismatch_totaldeclarative_validation_panic_totalWhen DeclarativeValidation=enabled, the runtime verification tests checks that any validation errors from the imperative (hand-written) rules matches those generated by the declarative rules.  In the case that the errors do not match as expected, these runtime verification checks log + emit a metric declarative_validation_mismatch_total to notify of the mismatch.  This means that during normal operation, the declarative_validation_mismatch_total metric should be zero. Additionally the new ValidateDeclaratively method is also robust to panics (recovers) as an extra precaution.  If this method panics, control will be recovered and logging + a new metric -declarative_validation_panic_total will be emitted.  This means that during normal operation, the declarative_validation_panic_total metric should also be zero.Feature Gate Behavior Matrix:Feature GatesDeclarativeValidation=disabledDeclarativeValidation=enabled (DEFAULT)DeclarativeValidationTakeover=disabled• Only imperative validation runs• No comparison is done ( and thus no metrics emitted)• Both imperative and declarative validation run• Validation errors compared, mismatches logged• Metrics emitted for mismatches/panics• Imperative validation errors are authoritative and returned to usersDeclarativeValidationTakeover=enabled (DEFAULT)• Only imperative validation runs• Takeover has no effect when base feature is disabled• Both imperative and declarative validation run• Validation errors compared, mismatches logged• Metrics emitted for mismatches/panics• For fields where there is Declarative Validation defined, Declarative Validation errors are authoritative and returned to users (if there is no Declarative Validation alternative for a field, Imperative validation are authoratiative and returned)Which issue(s) this PR fixes:It is part of kubernetes/enhancements#5073Special notes for your reviewer:PR based on feature branch PR here - jpbetz#124The first commit - 3dfe33b is to resolve a hack/verify-testing-import.sh test error around error_matcher.go.  This is likely less prioritized for review as it is a small refactoring of the error_matcher.go.The second commit - 75b9194 contains the logic related to the runtime verification tests and new metrics.  This is higher priority for review.Does this PR introduce a user-facing change?NONEAdditional documentation e.g., KEPs (Kubernetes Enhancement Proposals), usage docs, etc.:- [KEP]: https://github.com/kubernetes/enhancements/blob/master/keps/sig-api-machinery/5073-declarative-validation-with-validation-gen/README.md;FALSE;pkg;pkg, staging, test;area/apiserver, lgtm, sig/api-machinery, size/XXL, kind/api-change, kind/feature, release-note-none, sig/apps, approved, cncf-cla: yes;feature;chore: change error_matcher.go to use test interface instead of importing testing pkg | feat: add declarative validation metrics and associated runtime verification tests
130724;2025-03-11T13:35:06Z;2025-03-13T05:41:53Z;40,11;5;244;15;21;Enable Declarative Validation for ReplicationController;"What type of PR is this?/kind featureWhat this PR does / why we need it:This PR:Enables validation-gen for core v1 group: +k8s:validation-gen tags in pkg/apis/core/v1/doc.go enable generation for the core v1 API group. When enabled validation-gen parses ""+"" tags i staging/src/k8s.io/api/core/v1/types.go and generates validation code into pkg/apis/core/v1/zz_generated.validations.go.Updates ReplicationController strategy to run generated declarative validation: When the DeclarativeValidation gate is enabled, the strategies' validate functions will execute both the existing hand-written validation logic and the newly generated declarative validation:The validation errors returned by both methods are compared.If the errors do not match for validations that are intended to be migrated to declarative, a metric named declarative_validation_mismatch_total is incremented.If the declarative validation code encounters a panic, a metric named declarative_validation_panic_total is incremented.Validation errors reported back to the caller respect the DeclarativeValidationTakeover feature gate:For validation rules that have been migrated to declarative: When DeclarativeValidationTakeover is enabled, validation errors produced by declarative validation are returned. Otherwise, hand-written validation errors are returned. If declarative validation panics, an additional internal error is returned to report the problem.For validation rules that have not yet been migrated, the existing hand-written validation errors will continue to be returned.Enables declarative validation testing: Declarative validation is performed on API versions (not on the internal version like hand written validation). Fuzz testing is enabled for the core v1 group's validation.  Validation tests in declarative_validation_test.go are updated to use apitesting.VerifyVersionedValidationEquivalence to validate the (declarative) versioned validation.Does NOT migrate any validations: Validation migrations are introduced in a subsequent PR:#130725Special notes for your reviewer:This PR is currently stacked on #130705.  Please ignore the commits from that PR when reviewing this PR.Does this PR introduce a user-facing change?NONE";TRUE;pkg;pkg;area/apiserver, lgtm, sig/api-machinery, size/L, kind/api-change, kind/feature, release-note-none, sig/apps, approved, cncf-cla: yes;other;Enable validation-gen on core/v1  This enables generation but does not activate the strategy calling of declarative. | ReplicationController: Enable declarative validation  After declarative validation is enabled in the ReplicationController strategy in this way, the generated declarative validation code in pkg/apis/core/v1/zz.generated.validations.go will be run when the strategy validates ReplicationController.  Co-authored-by: Tim Hockin <thockin@google.com> Co-authored-by: Aaron Prindle <aprindle@google.com> Co-authored-by: Yongrui Lin <yongrlin@google.com> Co-authored-by: David Eads <deads@redhat.com> | ReplicationController: Add declarative validation test suite  Introduce a test suite that ensures declarative test cases are fully tested and that validation errors are compared with handwritten validation to ensure consistency.  Co-authored-by: Tim Hockin <thockin@google.com> Co-authored-by: Aaron Prindle <aprindle@google.com> Co-authored-by: Yongrui Lin <yongrlin@google.com> | Enable versioned validation fuzz testing for core v1 group
135800;2025-12-17T21:56:45Z;2026-01-24T05:03:40Z;895,12;3;340;17;1;rework nftables masquerading code, part 1;What this PR does / why we need it:Reworks some code pertaining to masquerading in nftables kube-proxy, in particular to get rid of a bunch of jumps to avoid performance problems. (See #135639 (comment).)In particular, it gets rid of the mark-for-masquerade chain, and instead just inlines the code that used to be there.(An earlier version of this PR did some other things too, but I've removed those for now and will resubmit separately.)Which issue(s) this PR is related to:#135639, though it's only a partial fixDoes this PR introduce a user-facing change?The nftables mode of kube-proxy now uses less CPU when loadingvery large rulesets./kind bug/kind cleanup/sig network/area kube-proxy/priority important-soon/triage accepted;FALSE;pkg;pkg;kind/bug, priority/important-soon, sig/network, kind/cleanup, area/kube-proxy, lgtm, release-note, size/L, approved, cncf-cla: yes;refactor;"Simplify nftables masquerade rule  We originally made it multiple rules, matching iptables, but nftables lets you do it all in a single rule. | Rework masquerade handling in nftables tracer  Process the actual rules rather than treating ""jump mark-for-masquerade"" as having special semantics. | Remove mark-for-masquerade chain from nftables kube-proxy  Current kernels have problems with very large rulesets with lots of jumps (because of inefficiency in the code that ensures the jumps don't create loops). Get rid of a bunch of jumps (1 per endpoint and usually 1 or 2 per service) by just doing mark-for-masquerade inline rather than calling a helper chain to do it."
135438;2025-11-25T04:51:36Z;2026-01-24T08:59:26Z;1444,13;15;455;21;16;feat(storage): enable validation-gen + DV wiring for storage.k8s.io;"/kind feature/sig api-machinery/sig storageWhat this PR does / why we need itEnables Declarative Validation coverage for the VolumeAttachmentSpec.Attacher field in the storage API. Specifically, this PR:Adds/updates validation-gen + DV wiring for the storage.k8s.io VolumeAttachment types as needed.Ensures the attacher field is validated declaratively (matching existing hand-written strategy behavior).Marks the legacy validation logic for attacher as .MarkCoveredByDeclarative() to avoid duplicate/partial coverage confusion during the migration.Adds/updates equivalence tests to verify create/update parity between declarative and hand-written validation paths.Which issue(s) this PR is related toPart of [Umbrella][Declarative Validation] Enable Declarative Validation for APIs #134280Special notes for your reviewerScope is limited to DV coverage for the attacher field; no behavior change intended.This continues the incremental migration approach with parity checks and explicit coverage markers.Follow-ups can extend DV coverage to other VolumeAttachmentSpec fields and related storage types.Test planUnit tests covering create/update validation for VolumeAttachment with DV enabled.Parity checks using VerifyValidationEquivalence and VerifyUpdateValidationEquivalence.Existing storage validation tests continue to pass.Does this PR introduce a user-facing change?NONE";FALSE;pkg;pkg, staging;lgtm, sig/storage, size/L, kind/api-change, release-note-none, sig/apps, approved, cncf-cla: yes, tide/merge-method-squash, needs-priority;feature;Enable DV coverage for VolumeAttachmentSpec.Attacher validation  update code-gen | addressing PR comments
